#No.   Fermi energy(eV)   SHC((hbar/e)*S/cm)
 361     9.161700    0.42945260E+01
 362     9.171700    0.42941426E+01
 363     9.181700    0.42930617E+01
 364     9.191700    0.42965273E+01
 365     9.201700    0.43022488E+01
 366     9.211700    0.43102992E+01
 367     9.221700    0.43103896E+01
 368     9.231700    0.43158863E+01
 369     9.241700    0.43286311E+01
 370     9.251700    0.43384840E+01
 371     9.261700    0.43499319E+01
 372     9.271700    0.43526125E+01
 373     9.281700    0.43620120E+01
 374     9.291700    0.43758588E+01
 375     9.301700    0.43839249E+01
 376     9.311700    0.43978248E+01
 377     9.321700    0.44069511E+01
 378     9.331700    0.44225187E+01
 379     9.341700    0.44430649E+01
 380     9.351700    0.44553826E+01
 381     9.361700    0.44643257E+01
 382     9.371700    0.44860709E+01
 383     9.381700    0.45022082E+01
 384     9.391700    0.45230775E+01
 385     9.401700    0.45523940E+01
 386     9.411700    0.45635314E+01
 387     9.421700    0.45718557E+01
 388     9.431700    0.45951292E+01
 389     9.441700    0.46168117E+01
 390     9.451700    0.46424406E+01
 391     9.461700    0.46527293E+01
 392     9.471700    0.46747740E+01
 393     9.481700    0.46957731E+01
 394     9.491700    0.47266511E+01
 395     9.501700    0.47350949E+01
 396     9.511700    0.47545453E+01
 397     9.521700    0.47842966E+01
 398     9.531700    0.48064743E+01
 399     9.541700    0.48319635E+01
 400     9.551700    0.48547102E+01
 401     9.561700    0.48856946E+01
 402     9.571700    0.49049285E+01
 403     9.581700    0.49396362E+01
 404     9.591700    0.49573047E+01
 405     9.601700    0.49906937E+01
 406     9.611700    0.50068775E+01
 407     9.621700    0.50508167E+01
 408     9.631700    0.50698117E+01
 409     9.641700    0.50888367E+01
 410     9.651700    0.51166050E+01
 411     9.661700    0.51380292E+01
 412     9.671700    0.51553645E+01
 413     9.681700    0.51824893E+01
 414     9.691700    0.52198931E+01
 415     9.701700    0.52512861E+01
 416     9.711700    0.52771027E+01
 417     9.721700    0.53125729E+01
 418     9.731700    0.53329343E+01
 419     9.741700    0.53712954E+01
 420     9.751700    0.53932718E+01
 421     9.761700    0.54421811E+01
 422     9.771700    0.54600908E+01
 423     9.781700    0.54827758E+01
 424     9.791700    0.55208927E+01
 425     9.801700    0.55314051E+01
 426     9.811700    0.55674037E+01
 427     9.821700    0.56187668E+01
 428     9.831700    0.56400062E+01
 429     9.841700    0.56725906E+01
 430     9.851700    0.56906329E+01
 431     9.861700    0.57095133E+01
 432     9.871700    0.57516378E+01
 433     9.881700    0.57822884E+01
 434     9.891700    0.58065638E+01
 435     9.901700    0.58482032E+01
 436     9.911700    0.58787327E+01
 437     9.921700    0.59103240E+01
 438     9.931700    0.59473042E+01
 439     9.941700    0.59869611E+01
 440     9.951700    0.60107378E+01
 441     9.961700    0.60415557E+01
 442     9.971700    0.60732692E+01
 443     9.981700    0.60942486E+01
 444     9.991700    0.61430513E+01
 445    10.001700    0.61625891E+01
 446    10.011700    0.61851299E+01
 447    10.021700    0.62284215E+01
 448    10.031700    0.62470741E+01
 449    10.041700    0.62864137E+01
 450    10.051700    0.63172007E+01
 451    10.061700    0.63494764E+01
 452    10.071700    0.63957700E+01
 453    10.081700    0.64296148E+01
 454    10.091700    0.64563456E+01
 455    10.101700    0.64950936E+01
